Logging to /home/admin2/svjdm/experiments/ablation_structure_20260309.log

############################################################
# Training-Strategy Ablation — d = 50
############################################################

============================================================
  Adam + Constant LR
============================================================
  Epoch 1000 | Loss 3.8960e-03 | Y0 0.083552 | 221.5s
  Epoch 1100 | Loss 3.5586e-03 | Y0 0.083871 | 243.7s
  Epoch 1200 | Loss 3.5884e-03 | Y0 0.083419 | 265.8s
  Epoch 1300 | Loss 3.3249e-03 | Y0 0.083189 | 288.0s
  Epoch 1400 | Loss 3.0323e-03 | Y0 0.083843 | 310.0s
  Epoch 1500 | Loss 3.0584e-03 | Y0 0.084067 | 332.2s
  Epoch 1600 | Loss 2.1684e-03 | Y0 0.083801 | 354.4s
  Epoch 1700 | Loss 1.9354e-03 | Y0 0.083676 | 376.5s
  Epoch 1800 | Loss 1.9304e-03 | Y0 0.083522 | 398.6s
  Epoch 1900 | Loss 1.9788e-03 | Y0 0.083616 | 420.8s
  Epoch 2000 | Loss 2.0704e-03 | Y0 0.083588 | 442.9s
  Epoch 2100 | Loss 1.9109e-03 | Y0 0.083758 | 465.0s
  Epoch 2200 | Loss 1.8520e-03 | Y0 0.083464 | 487.1s
  Epoch 2300 | Loss 1.8354e-03 | Y0 0.083555 | 509.2s
  Epoch 2400 | Loss 1.8856e-03 | Y0 0.083280 | 531.3s
  Epoch 2500 | Loss 2.0118e-03 | Y0 0.083593 | 553.5s
  Epoch 2600 | Loss 2.0563e-03 | Y0 0.083598 | 575.5s
  Epoch 2700 | Loss 1.7572e-03 | Y0 0.083584 | 597.7s
  Epoch 2800 | Loss 1.7685e-03 | Y0 0.083587 | 619.8s
  Epoch 2900 | Loss 1.6297e-03 | Y0 0.083546 | 641.9s
  Epoch 2999 | Loss 1.9516e-03 | Y0 0.083598 | 663.8s
Training complete.  Y0 = 0.083598  (663.8s)

========================================================================
Group                          Final Y0   Final Loss    Time(s)
------------------------------------------------------------------------
Adam + Constant LR             0.083578   2.1432e-03      616.9
NAdam + Constant LR            0.083816   2.0694e-03      662.8
Adam + Scheduled LR            0.083575   1.8373e-03      623.8
NAdam + Scheduled LR           0.083598   1.9516e-03      663.8
========================================================================
Saved: figs/ablation_structure_d50.png

Training-strategy ablation complete.
